% Title: AA-P02-Price Trend 
% Source: 'Julian Tritscher et al., Open ERP System Data For Occupational Fraud Detection, 2022' 
@RELATION AA-P02-Time-Price 
@ATTRIBUTE time NUMERIC
@ATTRIBUTE price NUMERIC
@DATA
0,0.12
1,0.12
2,0.12
3,0.12
4,0.12
5,0.12
6,0.12
7,0.12
8,0.12
9,0.12
10,0.12
11,0.12
12,0.12
13,0.12
14,0.12
15,0.12
16,0.12
17,0.12
18,0.12
19,0.12
20,0.12
21,0.12
22,0.12
23,0.12
24,0.12
25,0.12
26,0.12
27,0.12
28,0.12
29,0.12
30,0.12
31,0.12
32,0.12
33,0.12
34,0.12
35,0.12
36,0.12
37,0.12
38,0.12
39,0.12
40,0.12
41,0.12
42,0.12
43,0.12
44,0.12
45,0.12
46,0.12
47,0.12
48,0.12
49,0.12
50,0.12
51,0.13
52,0.13
53,0.14
54,0.15
55,0.16
56,0.16
57,0.17
58,0.15
59,0.14
60,0.12
61,0.12
62,0.12
63,0.12
64,0.12
65,0.12
66,0.12
67,0.12
68,0.12
69,0.12
70,0.12
71,0.12
72,0.12
73,0.12
74,0.12
75,0.12
76,0.12
77,0.12
78,0.12
79,0.12
80,0.12
81,0.12
82,0.12
83,0.12
84,0.12
85,0.12
86,0.12
87,0.12
88,0.12
89,0.12
90,0.12
91,0.12
92,0.12
93,0.12
94,0.12
95,0.13
96,0.13
97,0.13
98,0.14
99,0.14
100,0.15
101,0.15
102,0.15
103,0.16
104,0.16
105,0.16
106,0.16
107,0.16
108,0.16
109,0.16
110,0.16
111,0.16
112,0.16
113,0.16
114,0.16
115,0.16
116,0.16
117,0.16
118,0.16
119,0.16
120,0.16
121,0.16
122,0.16
123,0.16
124,0.16
125,0.16
126,0.16
127,0.16
128,0.16
129,0.16
130,0.16
131,0.16
132,0.16
133,0.16
134,0.16
135,0.16
136,0.16
137,0.16
138,0.16
139,0.16
140,0.16
141,0.16
142,0.16
143,0.16
144,0.16
145,0.16
146,0.16
147,0.16
148,0.16
149,0.16
150,0.16
151,0.16
152,0.16
153,0.16
154,0.16
155,0.16
156,0.16
157,0.16
158,0.16
159,0.16
160,0.16
161,0.16
162,0.16
163,0.16
164,0.16
165,0.16
166,0.16
167,0.16
168,0.16
169,0.16
170,0.16
171,0.16
172,0.16
173,0.16
174,0.16
175,0.16
176,0.16
177,0.16
178,0.16
179,0.16
180,0.16
181,0.16
182,0.16
183,0.16
184,0.16
185,0.16
186,0.16
187,0.16
188,0.16
189,0.16
190,0.16
191,0.16
192,0.16
193,0.16
194,0.16
195,0.16
196,0.16
197,0.16
198,0.16
199,0.16
200,0.16
201,0.16
202,0.16
203,0.16
204,0.16
205,0.16
206,0.16
207,0.16
208,0.16
209,0.16
210,0.16
211,0.16
212,0.16
213,0.16
214,0.16
215,0.16
216,0.16
217,0.16
218,0.16
219,0.16
220,0.16
221,0.16
222,0.16
223,0.16
224,0.16
225,0.16
226,0.16
227,0.16
228,0.16
229,0.16
230,0.16
231,0.16
232,0.16
233,0.16
234,0.16
235,0.16
236,0.16
237,0.16
238,0.16
239,0.16
240,0.16
241,0.16
242,0.16
243,0.16
244,0.16
245,0.16
246,0.16
247,0.16
248,0.16
249,0.16
250,0.16
251,0.16
252,0.16
253,0.16
254,0.16
255,0.16
