% Title: AA-P01-Price Trend 
% Source: 'Julian Tritscher et al., Open ERP System Data For Occupational Fraud Detection, 2022' 
@RELATION AA-P01-Time-Price 
@ATTRIBUTE time NUMERIC
@ATTRIBUTE price NUMERIC
@DATA
0,0.28
1,0.28
2,0.28
3,0.28
4,0.28
5,0.28
6,0.28
7,0.28
8,0.28
9,0.28
10,0.28
11,0.28
12,0.28
13,0.28
14,0.28
15,0.28
16,0.28
17,0.28
18,0.28
19,0.28
20,0.28
21,0.28
22,0.28
23,0.28
24,0.28
25,0.28
26,0.28
27,0.28
28,0.28
29,0.28
30,0.28
31,0.28
32,0.28
33,0.28
34,0.28
35,0.28
36,0.28
37,0.28
38,0.28
39,0.28
40,0.28
41,0.28
42,0.28
43,0.28
44,0.28
45,0.28
46,0.28
47,0.28
48,0.28
49,0.28
50,0.28
51,0.29
52,0.3
53,0.31
54,0.32
55,0.33
56,0.34
57,0.35
58,0.33
59,0.3
60,0.28
61,0.28
62,0.28
63,0.28
64,0.28
65,0.28
66,0.28
67,0.28
68,0.28
69,0.28
70,0.28
71,0.28
72,0.28
73,0.28
74,0.28
75,0.28
76,0.28
77,0.28
78,0.28
79,0.28
80,0.28
81,0.28
82,0.28
83,0.28
84,0.28
85,0.28
86,0.28
87,0.28
88,0.28
89,0.28
90,0.28
91,0.28
92,0.28
93,0.28
94,0.28
95,0.29
96,0.29
97,0.3
98,0.3
99,0.31
100,0.31
101,0.32
102,0.32
103,0.33
104,0.33
105,0.33
106,0.33
107,0.33
108,0.33
109,0.33
110,0.33
111,0.33
112,0.33
113,0.33
114,0.33
115,0.33
116,0.33
117,0.33
118,0.33
119,0.33
120,0.33
121,0.33
122,0.33
123,0.33
124,0.33
125,0.33
126,0.33
127,0.34
128,0.34
129,0.34
130,0.34
131,0.34
132,0.34
133,0.34
134,0.34
135,0.34
136,0.34
137,0.34
138,0.34
139,0.34
140,0.34
141,0.34
142,0.34
143,0.34
144,0.34
145,0.34
146,0.34
147,0.34
148,0.34
149,0.34
150,0.34
151,0.34
152,0.34
153,0.34
154,0.34
155,0.34
156,0.34
157,0.34
158,0.34
159,0.34
160,0.34
161,0.34
162,0.34
163,0.34
164,0.34
165,0.34
166,0.34
167,0.34
168,0.34
169,0.34
170,0.34
171,0.34
172,0.34
173,0.34
174,0.34
175,0.34
176,0.34
177,0.34
178,0.34
179,0.34
180,0.34
181,0.34
182,0.34
183,0.34
184,0.34
185,0.34
186,0.34
187,0.34
188,0.34
189,0.34
190,0.34
191,0.34
192,0.34
193,0.34
194,0.34
195,0.34
196,0.34
197,0.34
198,0.34
199,0.34
200,0.34
201,0.34
202,0.34
203,0.34
204,0.34
205,0.34
206,0.34
207,0.34
208,0.34
209,0.34
210,0.34
211,0.34
212,0.34
213,0.34
214,0.34
215,0.34
216,0.34
217,0.34
218,0.34
219,0.34
220,0.34
221,0.34
222,0.34
223,0.34
224,0.34
225,0.34
226,0.34
227,0.34
228,0.34
229,0.34
230,0.34
231,0.34
232,0.34
233,0.34
234,0.34
235,0.34
236,0.34
237,0.34
238,0.34
239,0.34
240,0.34
241,0.34
242,0.34
243,0.34
244,0.34
245,0.34
246,0.34
247,0.34
248,0.34
249,0.34
250,0.34
251,0.34
252,0.34
253,0.34
254,0.34
255,0.34
