% Title: AA-R05-Price Trend 
% Source: 'Julian Tritscher et al., Open ERP System Data For Occupational Fraud Detection, 2022' 
@RELATION AA-R05-Time-Price 
@ATTRIBUTE time NUMERIC
@ATTRIBUTE price NUMERIC
@DATA
0,0.99
1,0.99
2,0.99
3,0.99
4,0.99
5,0.99
6,0.99
7,0.99
8,0.99
9,0.99
10,0.99
11,0.99
12,0.99
13,0.99
14,0.99
15,0.99
16,0.99
17,0.99
18,0.99
19,0.99
20,0.99
21,0.99
22,0.99
23,0.99
24,0.99
25,0.99
26,0.99
27,0.99
28,0.99
29,0.99
30,0.99
31,0.99
32,0.99
33,0.99
34,0.99
35,0.99
36,0.99
37,0.99
38,0.99
39,0.99
40,0.99
41,0.99
42,0.99
43,0.99
44,0.99
45,0.99
46,0.99
47,0.99
48,0.99
49,0.99
50,0.94
51,0.94
52,0.94
53,0.93
54,0.93
55,0.93
56,0.93
57,0.92
58,0.92
59,0.92
60,0.91
61,0.91
62,0.9
63,0.88
64,0.87
65,0.87
66,0.86
67,0.86
68,0.86
69,0.85
70,0.83
71,0.82
72,0.82
73,0.82
74,0.82
75,0.83
76,0.83
77,0.83
78,0.83
79,0.83
80,0.83
81,0.85
82,0.87
83,0.89
84,0.91
85,0.93
86,0.95
87,0.98
88,1.0
89,1.03
90,1.05
91,1.08
92,1.1
93,1.1
94,1.1
95,1.11
96,1.12
97,1.13
98,1.14
99,1.15
100,1.16
101,1.17
102,1.18
103,1.19
104,1.2
105,1.2
106,1.2
107,1.2
108,1.2
109,1.2
110,1.2
111,1.21
112,1.21
113,1.22
114,1.22
115,1.23
116,1.23
117,1.29
118,1.34
119,1.4
120,1.46
121,1.44
122,1.41
123,1.39
124,1.36
125,1.34
126,1.31
127,1.29
128,1.26
129,1.24
130,1.23
131,1.22
132,1.21
133,1.2
134,1.19
135,1.18
136,1.17
137,1.16
138,1.15
139,1.14
140,1.13
141,1.12
142,1.32
143,1.31
144,1.29
145,1.28
146,1.26
147,1.25
148,1.23
149,1.22
150,1.2
151,1.19
152,1.18
153,1.16
154,1.15
155,1.13
156,1.12
157,1.1
158,1.09
159,1.07
160,1.06
161,1.04
162,1.03
163,1.03
164,1.02
165,1.02
166,1.01
167,1.01
168,1.01
169,1.01
170,1.01
171,1.0
172,1.0
173,1.0
174,1.0
175,1.0
176,1.0
177,1.0
178,1.0
179,1.0
180,0.99
181,0.99
182,0.99
183,0.99
184,0.99
185,0.98
186,0.98
187,0.98
188,0.97
189,0.97
190,0.97
191,0.96
192,0.96
193,0.95
194,0.95
195,0.95
196,0.94
197,0.94
198,0.94
199,0.93
200,0.93
201,0.93
202,0.93
203,0.93
204,0.93
205,0.93
206,0.91
207,0.89
208,0.86
209,0.84
210,0.82
211,0.8
212,0.78
213,0.75
214,0.73
215,0.71
216,0.71
217,0.72
218,0.72
219,0.72
220,0.73
221,0.73
222,0.73
223,0.74
224,0.74
225,0.75
226,0.75
227,0.75
228,0.76
229,0.76
230,0.76
231,0.77
232,0.77
233,0.78
234,0.78
235,0.79
236,0.8
237,0.81
238,0.81
239,0.82
240,0.82
241,0.82
242,0.82
243,0.82
244,0.82
245,0.82
246,0.82
247,0.82
248,0.82
249,0.82
250,0.82
251,0.82
252,0.82
253,0.82
254,0.82
255,0.82
