% Title: AA-F15-Price Trend 
% Source: 'Julian Tritscher et al., Open ERP System Data For Occupational Fraud Detection, 2022' 
@RELATION AA-F15-Time-Price-Amount 
@ATTRIBUTE time NUMERIC
@ATTRIBUTE price NUMERIC
@ATTRIBUTE amount NUMERIC
@DATA
0,4.35,531
1,4.35,531
2,4.35,531
3,4.35,531
4,4.35,531
5,4.35,531
6,4.35,531
7,4.35,531
8,4.35,531
9,4.35,531
10,4.35,531
11,4.35,531
12,4.35,531
13,4.35,531
14,4.35,531
15,4.35,531
16,4.35,531
17,4.35,531
18,4.35,531
19,4.35,531
20,4.35,531
21,4.35,531
22,4.35,531
23,4.35,531
24,4.35,531
25,4.35,531
26,4.35,531
27,4.35,531
28,4.35,531
29,4.35,531
30,4.35,531
31,4.35,531
32,4.35,531
33,4.35,531
34,4.35,531
35,4.35,531
36,4.35,531
37,4.35,531
38,4.35,531
39,4.35,531
40,4.35,531
41,4.35,531
42,4.35,531
43,4.35,531
44,4.35,531
45,4.35,531
46,4.35,531
47,4.35,531
48,4.35,531
49,4.35,531
50,4.35,531
51,4.35,531
52,4.35,531
53,4.35,531
54,4.35,531
55,4.35,531
56,4.35,531
57,4.35,531
58,4.35,531
59,4.35,531
60,4.35,531
61,4.35,531
62,4.35,531
63,4.35,531
64,4.35,531
65,4.35,531
66,4.35,531
67,4.35,531
68,4.35,531
69,4.35,531
70,4.35,531
71,4.35,531
72,4.35,531
73,4.35,531
74,4.35,531
75,4.35,531
76,4.35,531
77,4.35,531
78,4.35,531
79,4.35,531
80,4.35,531
81,4.35,531
82,4.35,531
83,4.35,531
84,4.35,531
85,4.35,531
86,4.35,531
87,4.35,531
88,4.35,531
89,4.35,531
90,4.35,531
91,4.35,531
92,4.35,531
93,4.35,531
94,4.35,531
95,4.35,531
96,4.35,531
97,4.35,531
98,4.35,531
99,4.35,531
100,4.35,531
101,4.35,531
102,4.35,531
103,4.35,531
104,4.35,531
105,4.35,531
106,4.35,531
107,4.35,531
108,4.35,531
109,4.35,531
110,4.35,531
111,4.35,531
112,4.35,531
113,4.35,531
114,4.35,531
115,4.35,531
116,4.35,531
117,4.35,531
118,4.35,531
119,4.35,531
120,4.35,531
121,4.35,531
122,4.35,531
123,4.35,531
124,4.35,531
125,4.35,531
126,4.35,531
127,4.35,531
128,4.35,531
129,4.35,531
130,4.35,531
131,4.35,531
132,4.35,531
133,4.35,531
134,4.35,531
135,4.35,531
136,4.35,531
137,4.35,531
138,4.35,531
139,4.35,531
140,4.35,486
141,4.35,442
142,4.35,470
143,4.35,440
144,4.35,493
145,4.35,495
146,4.35,498
147,4.35,469
148,4.35,469
149,4.35,469
150,4.35,456
151,4.35,471
152,4.35,486
153,4.35,500
154,4.35,515
155,4.35,530
156,4.35,512
157,4.35,494
158,4.35,476
159,4.35,458
160,4.35,461
161,4.35,465
162,4.35,484
163,4.35,487
164,4.35,490
165,4.35,493
166,4.35,499
167,4.35,504
168,4.35,445
169,4.35,500
170,4.35,481
171,4.35,516
172,4.35,528
173,4.35,541
174,4.35,521
175,4.35,501
176,4.35,498
177,4.35,495
178,4.35,492
179,4.35,489
180,4.35,458
181,4.35,438
182,4.35,419
183,4.35,505
184,4.35,531
185,4.35,486
186,4.35,491
187,4.35,481
188,4.35,472
189,4.35,472
190,4.35,475
191,4.35,478
192,4.35,481
193,4.35,484
194,4.35,487
195,4.35,490
196,4.35,493
197,4.35,496
198,4.35,499
199,4.35,455
200,4.35,490
201,4.35,506
202,4.35,495
203,4.35,529
204,4.35,459
205,4.35,490
206,4.35,473
207,4.35,504
208,4.35,417
209,4.35,473
210,4.35,460
211,4.35,479
212,4.35,508
213,4.35,497
214,4.35,510
215,4.35,473
216,4.35,490
217,4.35,469
218,4.35,496
219,4.35,526
220,4.35,480
221,4.35,420
222,4.35,438
223,4.35,456
224,4.35,475
225,4.35,493
226,4.35,502
227,4.35,476
228,4.35,480
229,4.35,484
230,4.35,488
231,4.35,492
232,4.35,489
233,4.35,459
234,4.35,485
235,4.35,470
236,4.35,474
237,4.35,491
238,4.35,457
239,4.35,526
240,4.35,479
241,4.35,439
242,4.35,497
243,4.35,478
244,4.35,478
245,4.35,478
246,4.35,476
247,4.35,476
248,4.35,476
249,4.35,476
250,4.35,476
251,4.35,476
252,4.35,476
253,4.35,476
254,4.35,476
255,4.35,476
