% Title: AA-F16-Price Trend 
% Source: 'Julian Tritscher et al., Open ERP System Data For Occupational Fraud Detection, 2022' 
@RELATION AA-F16-Time-Price-Amount 
@ATTRIBUTE time NUMERIC
@ATTRIBUTE price NUMERIC
@ATTRIBUTE amount NUMERIC
@DATA
0,4.5,466
1,4.5,466
2,4.5,466
3,4.5,466
4,4.5,466
5,4.5,466
6,4.5,466
7,4.5,466
8,4.5,466
9,4.5,466
10,4.5,466
11,4.5,466
12,4.5,466
13,4.5,466
14,4.5,466
15,4.5,466
16,4.5,466
17,4.5,466
18,4.5,466
19,4.5,466
20,4.5,466
21,4.5,466
22,4.5,466
23,4.5,466
24,4.5,466
25,4.5,466
26,4.5,466
27,4.5,466
28,4.5,466
29,4.5,466
30,4.5,466
31,4.5,466
32,4.5,466
33,4.5,466
34,4.5,466
35,4.5,466
36,4.5,466
37,4.5,466
38,4.5,466
39,4.5,466
40,4.5,466
41,4.5,466
42,4.5,466
43,4.5,466
44,4.5,466
45,4.5,466
46,4.5,466
47,4.5,466
48,4.5,466
49,4.5,466
50,4.5,466
51,4.5,466
52,4.5,466
53,4.5,466
54,4.5,466
55,4.5,466
56,4.5,466
57,4.5,466
58,4.5,466
59,4.5,466
60,4.5,466
61,4.5,466
62,4.5,466
63,4.5,471
64,4.5,475
65,4.5,459
66,4.5,455
67,4.5,465
68,4.5,467
69,4.5,458
70,4.5,471
71,4.5,474
72,4.5,473
73,4.5,472
74,4.5,470
75,4.5,469
76,4.5,468
77,4.5,474
78,4.5,476
79,4.5,477
80,4.5,479
81,4.5,450
82,4.5,469
83,4.5,475
84,4.5,462
85,4.5,454
86,4.5,473
87,4.5,478
88,4.5,459
89,4.5,464
90,4.5,466
91,4.5,465
92,4.5,461
93,4.5,472
94,4.5,452
95,4.5,468
96,4.5,462
97,4.5,463
98,4.5,463
99,4.5,467
100,4.5,473
101,4.5,471
102,4.5,474
103,4.5,467
104,4.5,460
105,4.5,459
106,4.5,458
107,4.5,457
108,4.5,465
109,4.5,472
110,4.5,468
111,4.5,474
112,4.5,468
113,4.5,466
114,4.5,464
115,4.5,462
116,4.5,460
117,4.5,474
118,4.5,459
119,4.5,477
120,4.5,465
121,4.5,441
122,4.5,478
123,4.5,455
124,4.5,459
125,4.5,471
126,4.5,460
127,4.5,462
128,4.5,464
129,4.5,466
130,4.5,466
131,4.5,466
132,4.5,466
133,4.5,465
134,4.5,465
135,4.5,465
136,4.5,465
137,4.5,472
138,4.5,466
139,4.5,465
140,4.5,469
141,4.5,472
142,4.5,487
143,4.5,476
144,4.5,468
145,4.5,459
146,4.5,471
147,4.5,468
148,4.5,485
149,4.5,470
150,4.5,463
151,4.5,463
152,4.5,467
153,4.5,467
154,4.5,475
155,4.5,482
156,4.5,477
157,4.5,472
158,4.5,468
159,4.5,463
160,4.5,462
161,4.5,462
162,4.5,476
163,4.57,463
164,4.63,451
165,4.7,438
166,4.7,441
167,4.7,443
168,4.7,456
169,4.7,441
170,4.7,418
171,4.7,445
172,4.7,445
173,4.7,445
174,4.7,445
175,4.7,445
176,4.7,450
177,4.7,454
178,4.7,440
179,4.7,458
180,4.7,447
181,4.7,434
182,4.7,431
183,4.7,460
184,4.7,456
185,4.7,446
186,4.7,451
187,4.7,443
188,4.7,435
189,4.7,428
190,4.7,428
191,4.7,429
192,4.7,429
193,4.7,429
194,4.7,430
195,4.7,430
196,4.7,430
197,4.7,431
198,4.7,430
199,4.7,455
200,4.7,452
201,4.7,446
202,4.7,443
203,4.7,451
204,4.7,448
205,4.7,443
206,4.7,446
207,4.7,435
208,4.7,426
209,4.7,447
210,4.7,452
211,4.7,443
212,4.7,447
213,4.7,451
214,4.7,453
215,4.7,444
216,4.7,449
217,4.7,447
218,4.7,454
219,4.7,440
220,4.7,446
221,4.7,442
222,4.7,445
223,4.7,448
224,4.7,450
225,4.7,453
226,4.7,439
227,4.7,440
228,4.7,441
229,4.7,443
230,4.7,445
231,4.7,446
232,4.7,441
233,4.7,439
234,4.7,427
235,4.7,438
236,4.7,460
237,4.7,454
238,4.7,322
239,4.7,322
240,4.7,322
241,4.7,322
242,4.7,322
243,4.7,322
244,4.7,322
245,4.7,322
246,4.7,322
247,4.7,322
248,4.7,322
249,4.7,322
250,4.7,322
251,4.7,322
252,4.7,322
253,4.7,322
254,4.7,322
255,4.7,322
